ANALYTE_ACCESSION	GENE_SYMBOL	GENE_ALIASES	GENE_ID	GENETIC_NOMENCLATURE_ID	IMMUNOLOGY_GENE_SYMBOL	LINK	OFFICIAL_GENE_NAME	PROTEIN_ONTOLOGY_ID	PROTEIN_ONTOLOGY_NAME	PROTEIN_ONTOLOGY_SYNONYMS	TAXONOMY_ID	UNIPROT_ENTRY	UNIPROT_ENTRY_NAME
ANA535	Cxcr1	Il8ra;	227288	MGI:2448715	Cxcr1	http://www.ncbi.nlm.nih.gov/gene/?term=227288	chemokine (C-X-C motif) receptor 1	PR:000001256	high affinity interleukin-8 receptor A	CMKAR1;IL8RA;CXCR-1;IL-8R A;IL-8 receptor type 1;CXC-R1;CDw128a;CXCR1;CD181;	10090	CXCR1_MOUSE	C-X-C chemokine receptor type 1
ANA536	Cxcr2	CD128;CDw128;Cmkar2;Gpcr16;IL-8Rh;IL-8rb;IL8RA;Il8rb;mIL-8RH;	12765	MGI:105303	Cxcr2	http://www.ncbi.nlm.nih.gov/gene/?term=12765	chemokine (C-X-C motif) receptor 2	PR:000001257	high affinity interleukin-8 receptor B	IL-8R B;IL-8 receptor type 2;Gpcr16;CD182;IL8RB;Cmkar2;CXCR-2;GRO/MGSA receptor;CXCR2;CXC-R2;CDw128b;	10090	CXCR2_MOUSE	C-X-C chemokine receptor type 2
ANA537	Cxcr3	RP23-49C8.4;Cd183;Cmkar3;	12766	MGI:1277207	Cxcr3	http://www.ncbi.nlm.nih.gov/gene/?term=12766	chemokine (C-X-C motif) receptor 3	PR:000001207	C-X-C chemokine receptor type 3	CXC-R3;CXCR3;G-protein coupled receptor 9;CKR-L2;Cmkar3;interferon-inducible protein 10 receptor;chemokine receptor CXCR3;IP-10 receptor;CD183;GPR9;CXCR-3;	10090	CXCR3_MOUSE	C-X-C chemokine receptor type 3
ANA538	Cxcr4	CD184;Cmkar4;LESTR;PB-CKR;PBSF/SDF-1;Sdf1r;b2b220Clo;	12767	MGI:109563	Cxcr4	http://www.ncbi.nlm.nih.gov/gene/?term=12767	chemokine (C-X-C motif) receptor 4	PR:000001208	C-X-C chemokine receptor type 4	SDF-1 receptor;stromal cell-derived factor 1 receptor;PB-CKR;pre-B-cell-derived chemokine receptor;FB22;CXCR-4;Sdf1r;LCR1;HM89;fusin;chemokine receptor CXCR4;CXC-R4;NPYRL;Cmkar4;CD184;LESTR;CXCR4;leukocyte-derived seven transmembrane domain receptor;	10090	CXCR4_MOUSE	C-X-C chemokine receptor type 4
ANA539	Cxcr5	Blr1;CXC-R5;CXCR-5;Gpcr6;MDR15;	12145	MGI:103567	Cxcr5	http://www.ncbi.nlm.nih.gov/gene/?term=12145	chemokine (C-X-C motif) receptor 5	PR:000001209	C-X-C chemokine receptor type 5	monocyte-derived receptor 15;chemokine receptor CXCR5;Gpcr6;BLR1;MDR15;MDR-15;CXCR-5;CXC-R5;burkitt lymphoma receptor 1;CXCR5;burkitt lymphoma receptor 1 homolog;CD185;	10090	CXCR5_MOUSE	C-X-C chemokine receptor type 5
ANA54	CSF2RA	CD116;CDw116;CSF2RX;CSF2RAY;CSF2RX;CSF2RY;GM-CSF-R-alpha;GMCSFR;GMR;SMDP4;CSF2RA;	1438	HGNC:2435	CSF2RA	http://www.ncbi.nlm.nih.gov/gene/?term=1438	colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)	PR:000001354	granulocyte-macrophage colony-stimulating factor receptor subunit alpha	CSF2R;GM-CSF-R-alpha;Csfgmra;CD116;CDw116;GMCSFR-alpha;CSF2RA;GMR-alpha;CSF2RY;	9606	CSF2R_HUMAN	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha
ANA540	Cxcr6	BB217514;BONZO;STRL33;	80901	MGI:1934582	Cxcr6	http://www.ncbi.nlm.nih.gov/gene/?term=80901	chemokine (C-X-C motif) receptor 6	PR:000001210	C-X-C chemokine receptor type 6	CDw186;CXCR6;TYMSTR;STRL33;G-protein coupled receptor STRL33;BONZO;CXC-R6;CXCR-6;CD186;chemokine receptor CXCR6;G-protein coupled receptor bonzo;	10090	CXCR6_MOUSE	C-X-C chemokine receptor type 6
ANA541	Ebi3	EBI-3;IL-27;	50498	MGI:1354171	Ebi3	http://www.ncbi.nlm.nih.gov/gene/?term=50498	Epstein-Barr virus induced gene 3	PR:000001386	interleukin-27 subunit beta	epstein-Barr virus-induced gene 3 protein;epstein-Barr virus-induced gene 3 protein homolog;EBV-induced gene 3 protein;Il17b;EBI3;IL-27B;IL-27 subunit beta;IL27B;	10090	IL27B_MOUSE	Interleukin-27 subunit beta
ANA542	Egf	AI790464;	13645	MGI:95290	Egf	http://www.ncbi.nlm.nih.gov/gene/?term=13645	epidermal growth factor	PR:000006928	pro-epidermal growth factor	EGF;	10090	EGF_MOUSE	Epidermal growth factor
ANA543	Egfr	RP23-295E4.1;9030024J15Rik;AI552599;Erbb;Errb1;Errp;Wa5;wa-2;wa2;	13649	MGI:95294	Egfr	http://www.ncbi.nlm.nih.gov/gene/?term=13649	epidermal growth factor receptor	PR:000006933	epidermal growth factor receptor	ERBB1;receptor tyrosine-protein kinase erbB-1;EGFR;proto-oncogene c-ErbB-1;	10090	EGFR_MOUSE	Epidermal growth factor receptor
ANA544	Epo	-	13856	MGI:95407	Epo	http://www.ncbi.nlm.nih.gov/gene/?term=13856	erythropoietin	PR:000007141	erythropoietin	epoetin;EPO;	10090	EPO_MOUSE	Erythropoietin
ANA545	Epor	-	13857	MGI:95408	Epor	http://www.ncbi.nlm.nih.gov/gene/?term=13857	erythropoietin receptor	PR:000007142	erythropoietin receptor	EPO-R;EPOR;	10090	EPOR_MOUSE	Erythropoietin receptor
ANA546	Fas	AI196731;APO1;APT1;CD95;TNFR6;Tnfrsf6;lpr;	14102	MGI:95484	Fas	http://www.ncbi.nlm.nih.gov/gene/?term=14102	Fas (TNF receptor superfamily member 6)	PR:000001962	tumor necrosis factor receptor superfamily member 6	APT1;CD95;FASPRO-short-label;FAS1;FASLG receptor;TNFRSF6;apo-1 antigen;apoptosis-mediating surface antigen FAS;	10090	TNR6_MOUSE	Tumor necrosis factor receptor superfamily member 6
ANA547	Fasl	gld;CD178;CD95L;Fas-L;Faslg;CD95-L;Tnfsf6;APT1LG1	14103	MGI:99255	Fasl	http://www.ncbi.nlm.nih.gov/gene/?term=14103	-	PR:000000095	fas ligand, TNF-like 	APT1LG1;APTL;CD178;CD95 ligand;CD95-L;CD95L;FASL;FASLGPRO-short-label;Fas antigen ligand;Fas ligand;TNFSF6;apoptosis antigen ligand;	10090	TNFL6_MOUSE	Tumor necrosis factor ligand superfamily member 6
ANA548	Fgf1	Fam;Fgfa;Dffrx;Fgf-1;	14164	MGI:95515	Fgf1	http://www.ncbi.nlm.nih.gov/gene/?term=14164	fibroblast growth factor 1	PR:000007479	heparin-binding growth factor 1	ECGF-beta;FGF1PRO-short-label;FGFA (RELATED);Fgf-1 (RELATED);HBGF-1;aFGF;acidic fibroblast growth factor;beta-endothelial cell growth factor;heparin-binding growth factor 1;	10090	FGF1_MOUSE	Fibroblast growth factor 1
ANA549	Fgf2	Fgfb;bFGF;Fgf-2;	14173	MGI:95516	Fgfb	http://www.ncbi.nlm.nih.gov/gene/?term=14173	fibroblast growth factor 2	PR:000007489	fibroblast growth factor 2	BFGF;FGF2PRO-short-label;FGFB (RELATED);Fgf-2 (RELATED);HBGF-2;basic fibroblast growth factor;heparin-binding growth factor 2;	10090	FGF2_MOUSE	Fibroblast growth factor 2
ANA55	CSF2RB	CITF22-45C1.4;CD131;CDw131;IL3RB;IL5RB;SMDP5;	1439	HGNC:2436	CSF2RB	http://www.ncbi.nlm.nih.gov/gene/?term=1439	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)	PR:000001339	cytokine receptor common beta chain	GM-CSF/IL-3/IL-5 receptor common beta subunit;IL3RB;CDw131;Csf2rb1;CSF2RB;Aic2b;CD131;IL5RB;Il3rb1;	9606	IL3RB_HUMAN	Cytokine receptor common subunit beta
ANA550	Flt3	B230315G04;CD135;Flk-2;Flk2;Flt-3;Ly72;wmfl;	14255	MGI:95559	Flt3	http://www.ncbi.nlm.nih.gov/gene/?term=14255	FMS-like tyrosine kinase 3	PR:000002001	receptor-type tyrosine-protein kinase FLT3	CD135;FLK-2;FLT-3;FLT3;Fms-like tyrosine kinase 3;STK-1;STK1;fetal liver kinase 2;stem cell tyrosine kinase 1;tyrosine-protein kinase FLT3;tyrosine-protein kinase receptor FLT3;tyrosine-protein kinase receptor flk-2;	10090	FLT3_MOUSE	Receptor-type tyrosine-protein kinase FLT3
ANA551	Flt3l	Ly72L;Flt3lg;	14256	MGI:95560	Flt3l	http://www.ncbi.nlm.nih.gov/gene/?term=14256	FMS-like tyrosine kinase 3 ligand	PR:000007564	fms-related tyrosine kinase 3 ligand	FLT3LG;Flt3L;flt3 ligand;	10090	FLT3L_MOUSE	Fms-related tyrosine kinase 3 ligand
ANA552	Gdf15	SBF;MIC-1;NAG-1;	23886	MGI:1346047	Gdf15	http://www.ncbi.nlm.nih.gov/gene/?term=23886	growth differentiation factor 15	PR:000007920	growth/differentiation factor 15	GDF-15;Sbf;NAG-1;prostate differentiation factor;macrophage inhibitory cytokine 1;placental TGF-beta;GDF15;NRG-1;PTGFB;NSAID-regulated gene 1 protein;PDF;placental bone morphogenetic protein;MIC1;NSAID-activated gene 1 protein;PLAB;MIC-1;	10090	GDF15_MOUSE	Growth/differentiation factor 15
ANA553	Hgf	SF;NK1;NK2;HGF/SF;SF/HGF;C230052L06Rik;	15234	MGI:96079	Hgf	http://www.ncbi.nlm.nih.gov/gene/?term=15234	hepatocyte growth factor	PR:000008534	hepatocyte growth factor	hepatopoeitin-A;HGF;scatter factor;HPTA;SF;	10090	HGF_MOUSE	Hepatocyte growth factor beta chain
ANA554	Ifna1	Ifa1;	15962	MGI:107668	Ifna1	http://www.ncbi.nlm.nih.gov/gene/?term=15962	interferon alpha 1	PR:000009177	interferon alpha-1	-	10090	IFNA1_MOUSE	Interferon alpha-1
ANA555	Ifna10	Ifa10;	110296	MGI:107667	Ifna10	http://www.ncbi.nlm.nih.gov/gene/?term=110296	interferon alpha 10	PR:000008911	interferon alpha-10	interferon alpha-C;IFN-alpha-10;interferon alpha-6L;LeIF C;IFNA10;	10090	-	-
ANA500	Ccr7	RP23-80N1.2;CD197;Cdw197;Cmkbr7;EBI1;Ebi1h;	12775	MGI:103011	Ccr7	http://www.ncbi.nlm.nih.gov/gene/?term=12775	chemokine (C-C motif) receptor 7	PR:000001203	C-C chemokine receptor type 7	CMKBR7;EBI1;C-C CKR-7;Ebi1h;CD197;CCR7;CDw197;MIP-3 beta receptor;CCR-7;BLR2;chemokine receptor CCR7;EBV-induced G-protein coupled receptor 1;epstein-Barr virus-induced G-protein coupled receptor 1;EVI1;CC-CKR-7;	10090	CCR7_MOUSE	C-C chemokine receptor type 7
ANA501	Ccr8	C-C;C-C CKR-8;CC-CKR-8;CCR-8;CKR-8;Cmkbr8;mCCR8;	12776	MGI:1201402	Ccr8	http://www.ncbi.nlm.nih.gov/gene/?term=12776	chemokine (C-C motif) receptor 8	PR:000001204	C-C chemokine receptor type 8	CMKBR8;TER1;GPRCY6;C-C CKR-8;CKR-L1;CCR-8;chemokine receptor-like 1;CC-CKR-8;CCR8;CKRL1;CDw198;CMKBRL2;GPR-CY6;CC chemokine receptor CHEMR1;chemokine receptor CCR8;	10090	CCR8_MOUSE	C-C chemokine receptor type 8
ANA502	Ccr9	A130091K22Rik;Cmkbr10;GPR-9-6;	12769	MGI:1341902	Ccr9	http://www.ncbi.nlm.nih.gov/gene/?term=12769	chemokine (C-C motif) receptor 9	PR:000001205	C-C chemokine receptor type 9	CC-CKR-9;C-C CKR-9;GPR-9-6;CDw199;CCR9;GPR28;chemokine receptor CCR9;G-protein coupled receptor 28;chemokine C-C receptor 10;Cmkbr10;CMKBR9;CCR-9;	10090	CCR9_MOUSE	C-C chemokine receptor type 9
ANA503	Cd27	S152;Tnfrsf7;Tp55;	21940	MGI:88326	Cd27	http://www.ncbi.nlm.nih.gov/gene/?term=21940	CD27 antigen	PR:000001963	CD27 molecule	TNFRSF7;T-cell activation antigen CD27;CD27L receptor;CD27;T14;	10090	CD27_MOUSE	CD27 antigen
ANA504	Cd4	L3T4;Ly-4;	12504	MGI:88335	Cd4	http://www.ncbi.nlm.nih.gov/gene/?term=12504	CD4 antigen	PR:000001004	CD4 molecule	T-cell differentiation antigen L3T4;CD4;T-cell surface glycoprotein CD4;T-cell surface antigen T4/Leu-3;	10090	CD4_MOUSE	T-cell surface glycoprotein CD4
ANA505	Cd40	RP23-428M13.1;AI326936;Bp50;GP39;HIGM1;IGM;IMD3;T-BAM;TRAP;Tnfrsf5;p50;	21939	MGI:88336	Cd40	http://www.ncbi.nlm.nih.gov/gene/?term=21939	CD40 antigen	PR:000001961	tumor necrosis factor receptor superfamily member 5	CD40;B-cell surface antigen CD40;CD40L receptor;TNFRSF5;CDw40;Bp50;	10090	TNR5_MOUSE	Tumor necrosis factor receptor superfamily member 5
ANA506	Cd40lg	IGM;IMD3;Ly62;TRAP;gp39;CD154;Cd40l;HIGM1;Ly-62;T-BAM;CD40-L;Tnfsf5;	21947	MGI:88337	Cd40lg	http://www.ncbi.nlm.nih.gov/gene/?term=21947	CD40 ligand	PR:000001950	tumor necrosis factor ligand superfamily member 5	TRAP;CD40L;TNF-related activation protein;TNFSF5;T-cell antigen Gp39;CD40LG;CD154;CD40-L;	10090	CD40L_MOUSE	CD40 ligand, soluble form
ANA507	Cd70	Cd27l;CD27LG;Tnfsf7;	21948	MGI:1195273	Cd70	http://www.ncbi.nlm.nih.gov/gene/?term=21948	CD70 antigen	PR:000001309	CD70 molecule	CD27 ligand;CD27-L;CD27L;CD27LG;CD70PRO-short-label;CD70 antigen;TNFSF7;tumor necrosis factor ligand superfamily member 7;	10090	CD70_MOUSE	CD70 antigen
ANA508	Cklf	C32;CKLF1;CKLF3;CKLF4;CKLF5;Cklf2;Cklf6;UCK-1;HSPC224;1700001C14Rik;1810018M11Rik;	75458	MGI:1922708	Cklf	http://www.ncbi.nlm.nih.gov/gene/?term=75458	chemokine-like factor	PR:000005514	chemokine-like factor	chemokine-like factor;C32;CKLF;CKLF1;	10090	CKLF_MOUSE	Chemokine-like factor
ANA509	Clcf1	CLC;Bsf3;	56708	MGI:1930088	Clcf1	http://www.ncbi.nlm.nih.gov/gene/?term=56708	cardiotrophin-like cytokine factor 1	PR:000005527	cardiotrophin-like cytokine factor 1	CLCF1;novel neurotrophin-1;BSF-3;NNT1;CLC;BSF3;B-cell-stimulating factor 3;NNT-1;	10090	CLCF1_MOUSE	Cardiotrophin-like cytokine factor 1
ANA51	CSF1	MCSF;CSF-1;	1435	HGNC:2432	MCSF	http://www.ncbi.nlm.nih.gov/gene/?term=1435	colony stimulating factor 1 (macrophage)	PR:000005930	macrophage colony-stimulating factor 1	M-CSF;MCSF;CSF1;lanimostim;Csfm;CSF-1;	9606	CSF1_HUMAN	Processed macrophage colony-stimulating factor 1
ANA510	Cmtm1	CKLFH;CKLFH1;CHLFH1a;Cklfsf1;	100504164	MGI:2447159	Cmtm1	http://www.ncbi.nlm.nih.gov/gene/?term=100504164	CKLF-like MARVEL transmembrane domain containing 1	PR:000029358	CKLF-like MARVEL transmembrane domain-containing protein 1	CMTM1;chemokine-like factor superfamily member 1;CKLFSF1;	10090	B7ZP21_MOUSE	-
ANA511	Cmtm6	Cklfsf6;AA536733;2810051A14Rik;	67213	MGI:2447165	Cmtm6	http://www.ncbi.nlm.nih.gov/gene/?term=67213	CKLF-like MARVEL transmembrane domain containing 6	PR:000029359	CKLF-like MARVEL transmembrane domain-containing protein 6	CMTM6;CKLFSF6;chemokine-like factor superfamily member 6;	10090	CKLF6_MOUSE	CKLF-like MARVEL transmembrane domain-containing protein 6
ANA512	Cmtm7	LNV;Cklfsf7;AI481279;	102545	MGI:2447166	Cmtm7	http://www.ncbi.nlm.nih.gov/gene/?term=102545	CKLF-like MARVEL transmembrane domain containing 7	PR:000031311	CKLF-like MARVEL transmembrane domain-containing protein 7	Lnv;CMTM7;chemokine-like factor superfamily member 7;CKLFSF7;LNV;	10090	CKLF7_MOUSE	CKLF-like MARVEL transmembrane domain-containing protein 7
ANA513	Cntfr	RP23-167I12.1alpha;Cntfr;	12804	MGI:99605	Cntfr	http://www.ncbi.nlm.nih.gov/gene/?term=12804	ciliary neurotrophic factor receptor	PR:000005664	ciliary neurotrophic factor receptor subunit alpha	ciliary neurotrophic factor receptor alpha;CNTFR-alpha;CNTF receptor subunit alpha;CNTFR;	10090	CNTFR_MOUSE	Ciliary neurotrophic factor receptor subunit alpha
ANA514	Csf1	op;Csfm;MCSF;C87615;	12977	MGI:1339753	Csf1	http://www.ncbi.nlm.nih.gov/gene/?term=12977	colony stimulating factor 1 (macrophage)	PR:000005930	macrophage colony-stimulating factor 1	M-CSF;MCSF;CSF1;lanimostim;Csfm;CSF-1;	10090	CSF1_MOUSE	Processed macrophage colony-stimulating factor 1
ANA515	Csf1r	AI323359;CD115;CSF-1R;Csfmr;Fim-2;Fms;M-CSF-R;M-CSFR;	12978	MGI:1339758	Csf1r	http://www.ncbi.nlm.nih.gov/gene/?term=12978	colony stimulating factor 1 receptor	PR:000002062	macrophage colony-stimulating factor 1 receptor	CSF1R;Csfmr;FMS;CSF-1-R;CD115;proto-oncogene c-Fms;	10090	CSF1R_MOUSE	Macrophage colony-stimulating factor 1 receptor
ANA516	Csf2	Csfgm;GMCSF;Gm-CSf;MGI-IGM;	12981	MGI:1339752	Csf2	http://www.ncbi.nlm.nih.gov/gene/?term=12981	colony stimulating factor 2 (granulocyte-macrophage)	PR:000005931	granulocyte-macrophage colony-stimulating factor	molgramostin;sargramostim;CSF2;GM-CSF;colony-stimulating factor;GMCSF;Csfgm;CSF;	10090	CSF2_MOUSE	Granulocyte-macrophage colony-stimulating factor
ANA576	Il10	CSIF;Il-10;	16153	MGI:96537	Il10	http://www.ncbi.nlm.nih.gov/gene/?term=16153	interleukin 10	PR:000001471	interleukin-10	CSIF;IL-10;cytokine synthesis inhibitory factor;IL10;	10090	IL10_MOUSE	Interleukin-10
ANA577	Il10ra	AW553859;CDw210;CDw210a;Il10r;mIL-10R;	16154	MGI:96538	Il10ra	http://www.ncbi.nlm.nih.gov/gene/?term=16154	interleukin 10 receptor, alpha	PR:000001365	interleukin-10 receptor alpha chain	IL-10RA;interleukin-10 receptor subunit 1;IL-10R1;IL-10 receptor subunit alpha;IL-10R subunit alpha;IL10R;CDw210a;IL10RA;IL-10R subunit 1;	10090	I10R1_MOUSE	Interleukin-10 receptor subunit alpha
ANA578	Il10rb	6620401D04Rik;AI528744;CRF2-4;Crfb4;D16H21S58;D21S58h;IL-10R2;Il10r2;	16155	MGI:109380	Il10rb	http://www.ncbi.nlm.nih.gov/gene/?term=16155	interleukin 10 receptor, beta	PR:000008979	interleukin-10 receptor beta chain	IL-10R2;CRF2-4;interleukin-10 receptor subunit 2;cytokine receptor family 2 member 4;CRFB4;IL10RB;cytokine receptor class-II member 4;IL-10R subunit 2;D21S58;IL-10R subunit beta;D21S66;IL-10 receptor subunit beta;IL-10RB;CDw210b;	10090	-	-
ANA579	Il11	IL-11;	16156	MGI:107613	Il11	http://www.ncbi.nlm.nih.gov/gene/?term=16156	interleukin 11	PR:000001366	interleukin-11	oprelvekin;IL-11;AGIF;IL11;adipogenesis inhibitory factor;	10090	IL11_MOUSE	Interleukin-11
ANA58	CX3CL1	NTN;NTT;CXC3;CXC3C;SCYD1;ABCD-3;C3Xkine;fractalkine;neurotactin;	6376	HGNC:10647	FRACTALKINE	http://www.ncbi.nlm.nih.gov/gene/?term=6376	chemokine (C-X3-C motif) ligand 1	PR:000001855	fractalkine	FKN;small-inducible cytokine D1;CX3C membrane-anchored chemokine;NTT;CX3CL1;C-X3-C motif chemokine 1;neurotactin;Cx3c;SCYD1;	9606	X3CL1_HUMAN	Processed fractalkine
ANA580	Il11ra1	RP23-167I12.2;AI314697;GP130;Il-11ra;Il11ra;Il11ra2;NR1;	16157	MGI:107426	Il11ra1	http://www.ncbi.nlm.nih.gov/gene/?term=16157	interleukin 11 receptor, alpha chain 1	PR:000031108	interleukin-11 receptor subunit alpha	IL-11 receptor subunit alpha;IL-11R-alpha;IL11RA;IL-11R subunit alpha;IL-11RA;	10090	I11RA_MOUSE	Interleukin-11 receptor subunit alpha-1
ANA581	Il12a	p35;Ll12a;Il-12a;IL-12p35;	16159	MGI:96539	Il12p35	http://www.ncbi.nlm.nih.gov/gene/?term=16159	interleukin 12a	PR:000001368	interleukin-12 subunit alpha	CLMF p35;IL-12 subunit p35;IL-12A;IL12A;NK cell stimulatory factor chain 1;NKSF1;cytotoxic lymphocyte maturation factor 35 kDa subunit;	10090	IL12A_MOUSE	Interleukin-12 subunit alpha
ANA582	Il12b	p40;Il-12b;Il12p40;Il-12p40;	16160	MGI:96540	IL12p40	http://www.ncbi.nlm.nih.gov/gene/?term=16160	interleukin 12b	PR:000001369	interleukin-12 subunit beta	cytotoxic lymphocyte maturation factor 40 kDa subunit;IL-12B;CLMF p40;IL-12 subunit p40;IL12B;NKSF2;NK cell stimulatory factor chain 2;	10090	IL12B_MOUSE	Interleukin-12 subunit beta
ANA583	Il12rb1	CD212;IL-12R[b];	16161	MGI:104579	Il12rb1	http://www.ncbi.nlm.nih.gov/gene/?term=16161	interleukin 12 receptor, beta 1	PR:000001367	interleukin-12 receptor subunit beta-1	IL-12R-beta-1;CD212;IL-12RB1;IL-12R subunit beta-1;IL12RB;IL12RB1;IL-12 receptor beta component;IL12R;IL-12 receptor subunit beta-1;interleukin-12 receptor beta 1;	10090	I12R1_MOUSE	Interleukin-12 receptor subunit beta-1
ANA584	Il12rb2	A930027I18Rik;IL-12RB2;Ifnm;	16162	MGI:1270861	Il12rb2	http://www.ncbi.nlm.nih.gov/gene/?term=16162	interleukin 12 receptor, beta 2	PR:000008980	interleukin-12 receptor subunit beta-2	interleukin-12 receptor beta-2 chain;IL-12 receptor subunit beta-2;IL-12RB2;IL-12R subunit beta-2;IL12RB2;IL-12R-beta-2;	10090	I12R2_MOUSE	Interleukin-12 receptor subunit beta-2
ANA585	Il13	Il-13;	16163	MGI:96541	Il13	http://www.ncbi.nlm.nih.gov/gene/?term=16163	interleukin 13	PR:000001370	interleukin-13	NC30;IL-13;T-cell activation protein P600;IL13;	10090	IL13_MOUSE	Interleukin-13
ANA586	Il13ra1	RP23-132G2.1;AI882074;CD213a1;IL-13r[a];Il13ra;NR4;	16164	MGI:105052	Il13ra1	http://www.ncbi.nlm.nih.gov/gene/?term=16164	interleukin 13 receptor, alpha 1	PR:000001371	interleukin-13 receptor subunit alpha-1	IL-13R-alpha-1;IL-13 receptor subunit alpha-1;cancer/testis antigen 19;novel cytokine receptor 4;IL13R;IL13RA1;interleukin-13-binding protein;interleukin-13 receptor alpha-1 chain;IL13RA;CD213a1;IL-13RA1;IL-13R subunit alpha-1;NR4;CT19;	10090	I13R1_MOUSE	Interleukin-13 receptor subunit alpha-1
ANA587	Il13ra2	CD213a2;	16165	MGI:1277954	Il13ra2	http://www.ncbi.nlm.nih.gov/gene/?term=16165	interleukin 13 receptor, alpha 2	PR:000001372	interleukin-13 receptor subunit alpha-2	IL13RA2;IL-13R-alpha-2;IL13R;IL-13R subunit alpha-2;interleukin-13-binding protein;CD213a2;interleukin-13 receptor alpha-2 chain;IL-13RA2;IL-13 receptor subunit alpha-2;	10090	I13R2_MOUSE	Interleukin-13 receptor subunit alpha-2
ANA588	Il15	IL-15;AI503618;	16168	MGI:103014	Il15	http://www.ncbi.nlm.nih.gov/gene/?term=16168	interleukin 15	PR:000001373	interleukin-15	IL15;IL-15;	10090	IL15_MOUSE	Interleukin-15
ANA589	Il15ra	RP23-114B13.4;AA690181;IL-15RA;	16169	MGI:104644	Il15ra	http://www.ncbi.nlm.nih.gov/gene/?term=16169	interleukin 15 receptor, alpha chain	PR:000008981	interleukin-15 receptor subunit alpha	CD215;IL-15 receptor subunit alpha;IL-15R-alpha;IL-15RA;IL15RA;	10090	I15RA_MOUSE	Soluble interleukin-15 receptor subunit alpha
ANA59	CX3CR1	CCRL1;CMKBRL1;CMKDR1;GPR13;GPRV28;V28;	1524	HGNC:2558	CX3CR1	http://www.ncbi.nlm.nih.gov/gene/?term=1524	chemokine (C-X3-C motif) receptor 1	PR:000001206	CX3C chemokine receptor 1	GPR13;CMK-BRL-1;G-protein coupled receptor 13;V28;chemokine receptor CX3CR1;beta chemokine receptor-like 1;CMKBRL1;CX3CR1;CMK-BRL1;C-X3-C CKR-1;fractalkine receptor;	9606	CX3C1_HUMAN	CX3C chemokine receptor 1
ANA590	Il16	mKIAA4048;	16170	MGI:1270855	Il16	http://www.ncbi.nlm.nih.gov/gene/?term=16170	interleukin 16	PR:000001374	interleukin-16	IL16;	10090	IL16_MOUSE	Interleukin-16
ANA591	Il17a	Il17;Ctla8;IL-17;Ctla-8;IL-17A;	16171	MGI:107364	Il17a	http://www.ncbi.nlm.nih.gov/gene/?term=16171	interleukin 17A	PR:000001138	interleukin-17A	cytotoxic T-lymphocyte-associated antigen 8;IL17A;IL-17A;IL-17;CTLA-8;CTLA8;IL17;	10090	IL17_MOUSE	Interleukin-17A
ANA592	Il17b	Zcyto7;1110006O16Rik;1700006N07Rik;	56069	MGI:1928397	Il17b	http://www.ncbi.nlm.nih.gov/gene/?term=56069	interleukin 17B	PR:000001139	interleukin-17B	IL17B;cytokine Zcyto7;cytokine-like protein ZCYTO7;NIRF;IL-20;cytokine CX1;ZCYTO7;neuronal interleukin-17-related factor;interleukin-20;IL-17B;IL20;	10090	IL17B_MOUSE	Interleukin-17B
ANA593	Il17c	IL-17C;	234836	MGI:2446486	Il17c	http://www.ncbi.nlm.nih.gov/gene/?term=234836	interleukin 17C	PR:000001140	interleukin-17C	IL-17C;cytokine CX2;IL17C;	10090	IL17C_MOUSE	Interleukin-17C
ANA594	Il17d	Il27a;IL-17D;AI462269;	239114	MGI:2446510	Il17d	http://www.ncbi.nlm.nih.gov/gene/?term=239114	interleukin 17D	PR:000001141	interleukin-17D	IL-17D;IL-27;IL27;IL17D;interleukin-27;	10090	Q8K4C4_MOUSE	-
ANA595	Il17f	C87042;IL-17F;	257630	MGI:2676631	Il17f	http://www.ncbi.nlm.nih.gov/gene/?term=257630	interleukin 17F	PR:000001142	interleukin-17F	IL-24;interleukin-24;IL24;cytokine ML-1;IL-17F;IL17F;	10090	IL17F_MOUSE	Interleukin-17F
ANA596	Il17ra	AW538159;Cdw217;Il17r;VDw217;	16172	MGI:107399	Il17ra	http://www.ncbi.nlm.nih.gov/gene/?term=16172	interleukin 17 receptor A	PR:000001375	interleukin-17 receptor A	IL-17RA;IL-17 receptor A;IL17RA;CD217;CDw217;IL17R;	10090	I17RA_MOUSE	Interleukin-17 receptor A
ANA597	Il18	Igif;Il-18;	16173	MGI:107936	Il18	http://www.ncbi.nlm.nih.gov/gene/?term=16173	interleukin 18	PR:000001376	interleukin-18	IFN-gamma-inducing factor;IGIF;IL-1 gamma;IL-18;IL18PRO-short-label;IL1F4;iboctadekin;interferon gamma-inducing factor;interleukin-1 gamma;	10090	IL18_MOUSE	Interleukin-18
ANA598	Il19	-	329244	MGI:1890472	Il19	http://www.ncbi.nlm.nih.gov/gene/?term=329244	interleukin 19	PR:000001472	interleukin-19	NG.1;ZMDA1;IL19;IL-19;melanoma differentiation-associated protein-like protein;	10090	IL19_MOUSE	Interleukin-19
